159,Martinus J.G.,Veltman,6/27/1931,0000-00-00,the Netherlands,NL,Waalwijk , ,  , , male,1999,physics , , 2,"for elucidating the quantum structure of electroweak interactions in physics" , , Bilthoven,the Netherlands
158,Gerardus,'t Hooft,7/5/1946,0000-00-00,the Netherlands,NL,Den Helder , ,  , , male,1999,physics , , 2,"for elucidating the quantum structure of electroweak interactions in physics",Utrecht University,Utrecht,the Netherlands
720,Robert A.,Mundell,10/24/1932,0000-00-00,Canada,CA,"Kingston ON" , ,  , , male,1999,economics , , 1,"for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas",Columbia University,"New York NY",USA
292,Ahmed H.,Zewail,2/26/1946,8/2/2016,Egypt,EG,Damanhur , ,  , , male,1999,chemistry , , 1,"for his studies of the transition states of chemical reactions using femtosecond spectroscopy",California Institute of Technology (Caltech),"Pasadena CA",USA
461,G�nter,Blobel,5/21/1936,0000-00-00,Germany (now Poland),PL,Waltersdorf (now Niegoslawice) , ,  , , male,1999,medicine , , 1,"for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell",Rockefeller University,"New York NY",USA
461,G�nter,Blobel,5/21/1936,0000-00-00,Germany (now Poland),PL,Waltersdorf (now Niegoslawice) , ,  , , male,1999,medicine , , 1,"for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell",Howard Hughes Medical Institute , , 
676,G�nter,Grass,10/16/1927,4/13/2015,Free City of Danzig (now Poland),PL,Danzig (now Gdansk),Germany,DE,L�beck,male,1999,literature , , 1,"whose frolicsome black fables portray the forgotten face of history" , , ,
568,M_decins Sans Fronti�res , ,  , ,  , ,  , ,  , , org,1999,peace , , 1,"in recognition of the organization's pioneering humanitarian work on several continents" , , ,
